Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n,SS,thermcond,thermcap
215.096153846154,5347.25961538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
219.663461538462,5566.92307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
224.230769230769,5791.15384615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
228.798076923077,6019.95192307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
233.365384615385,6253.31730769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
237.932692307692,6491.25,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
242.5,6733.75,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
247.067307692308,6980.81730769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
251.634615384615,7232.45192307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
256.201923076923,7488.65384615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
260.769230769231,7749.42307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
265.336538461538,8014.75961538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
269.903846153846,8284.66346153846,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
274.471153846154,8559.13461538462,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
279.038461538462,8838.17307692308,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
283.605769230769,9121.77884615385,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
288.173076923077,9409.95192307692,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
292.740384615385,9702.69230769231,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
297.307692307692,10000,0.021,0.021,0.04,0.84,0.00241,1.33,1e-07,1.62,2e+06
