Dz,z.tot,Kh,Kv,vwc_r,vwc_s,VG_alpha,VG_n,SS
86.6970320305613,1620.45548045842,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
89.3417572729944,1709.79723773141,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
91.9864825154276,1801.78372024684,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
94.6312077578607,1896.4149280047,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
97.2759330002939,1993.690861005,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
99.920658242727,2093.61151924772,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
102.56538348516,2196.17690273288,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
105.210108727593,2301.38701146048,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
107.854833970026,2409.2418454305,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
110.49955921246,2519.74140464296,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
113.144284454893,2632.88568909785,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
115.789009697326,2748.67469879518,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
118.433734939759,2867.10843373494,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
121.078460182192,2988.18689391713,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
123.723185424625,3111.91007934176,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
126.367910667058,3238.27799000882,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
129.012635909492,3367.29062591831,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
131.657361151925,3498.94798707023,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
134.302086394358,3633.25007346459,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
136.946811636791,3770.19688510138,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
139.591536879224,3909.78842198061,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
142.236262121657,4052.02468410226,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
144.880987364091,4196.90567146635,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
147.525712606524,4344.43138407288,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
150.170437848957,4494.60182192183,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
152.81516309139,4647.41698501322,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
155.459888333823,4802.87687334705,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
158.104613576256,4960.9814869233,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
160.749338818689,5121.73082574199,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
163.394064061123,5285.12488980312,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
166.038789303556,5451.16367910667,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
168.683514545989,5619.84719365266,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
171.328239788422,5791.17543344108,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
173.972965030855,5965.14839847194,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
176.617690273288,6141.76608874523,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
179.262415515721,6321.02850426095,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
181.907140758155,6502.9356450191,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
184.551866000588,6687.48751101969,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
187.196591243021,6874.68410226271,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
189.841316485454,7064.52541874816,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
192.486041727887,7257.01146047605,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
195.13076697032,7452.14222744637,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
197.775492212753,7649.91771965912,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
200.420217455187,7850.33793711431,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
203.06494269762,8053.40287981193,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
205.709667940053,8259.11254775198,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
208.354393182486,8467.46694093447,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
210.999118424919,8678.46605935939,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
213.643843667352,8892.10990302674,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
216.288568909785,9108.39847193653,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
218.933294152219,9327.33176608875,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
221.578019394652,9548.9097854834,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
224.222744637085,9773.13253012048,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
226.867469879518,10000,0.021,0.021,0.07,0.56,0.00241,1.33,1e-07
