"number","SnowCorrFactor","ThresTempRain","ThresTempSnow"
"0270",0.5,3.75,-0.5
"0271",0.5,3.75,-0.25
"0272",0.5,3.75,0
"0273",0.5,4,-4
"0274",0.5,4,-3.75
"0275",0.5,4,-3.5
"0276",0.5,4,-3.25
"0277",0.5,4,-3
"0278",0.5,4,-2.75
"0279",0.5,4,-2.5
"0280",0.5,4,-2.25
"0281",0.5,4,-2
"0282",0.5,4,-1.75
"0283",0.5,4,-1.5
"0284",0.5,4,-1.25
"0285",0.5,4,-1
"0286",0.5,4,-0.75
"0287",0.5,4,-0.5
"0288",0.5,4,-0.25
"0289",0.5,4,0
"0290",0.6,0,-4
"0291",0.6,0,-3.75
"0292",0.6,0,-3.5
"0293",0.6,0,-3.25
"0294",0.6,0,-3
"0295",0.6,0,-2.75
"0296",0.6,0,-2.5
"0297",0.6,0,-2.25
"0298",0.6,0,-2
"0299",0.6,0,-1.75
"0300",0.6,0,-1.5
"0301",0.6,0,-1.25
"0302",0.6,0,-1
"0303",0.6,0,-0.75
"0304",0.6,0,-0.5
"0305",0.6,0,-0.25
"0306",0.6,0,0
"0307",0.6,0.25,-4
"0308",0.6,0.25,-3.75
"0309",0.6,0.25,-3.5
"0310",0.6,0.25,-3.25
"0311",0.6,0.25,-3
"0312",0.6,0.25,-2.75
"0313",0.6,0.25,-2.5
"0314",0.6,0.25,-2.25
"0315",0.6,0.25,-2
"0316",0.6,0.25,-1.75
"0317",0.6,0.25,-1.5
"0318",0.6,0.25,-1.25
"0319",0.6,0.25,-1
"0320",0.6,0.25,-0.75
"0321",0.6,0.25,-0.5
"0322",0.6,0.25,-0.25
"0323",0.6,0.25,0
"0324",0.6,0.5,-4
"0325",0.6,0.5,-3.75
"0326",0.6,0.5,-3.5
"0327",0.6,0.5,-3.25
"0328",0.6,0.5,-3
"0329",0.6,0.5,-2.75
"0330",0.6,0.5,-2.5
"0331",0.6,0.5,-2.25
"0332",0.6,0.5,-2
"0333",0.6,0.5,-1.75
"0334",0.6,0.5,-1.5
"0335",0.6,0.5,-1.25
"0336",0.6,0.5,-1
"0337",0.6,0.5,-0.75
"0338",0.6,0.5,-0.5
"0339",0.6,0.5,-0.25
"0340",0.6,0.5,0
"0341",0.6,0.75,-4
"0342",0.6,0.75,-3.75
"0343",0.6,0.75,-3.5
"0344",0.6,0.75,-3.25
"0345",0.6,0.75,-3
"0346",0.6,0.75,-2.75
"0347",0.6,0.75,-2.5
"0348",0.6,0.75,-2.25
"0349",0.6,0.75,-2
"0350",0.6,0.75,-1.75
"0351",0.6,0.75,-1.5
"0352",0.6,0.75,-1.25
"0353",0.6,0.75,-1
"0354",0.6,0.75,-0.75
"0355",0.6,0.75,-0.5
"0356",0.6,0.75,-0.25
"0357",0.6,0.75,0
"0358",0.6,1,-4
"0359",0.6,1,-3.75
"0360",0.6,1,-3.5
"0361",0.6,1,-3.25
"0362",0.6,1,-3
"0363",0.6,1,-2.75
"0364",0.6,1,-2.5
"0365",0.6,1,-2.25
"0366",0.6,1,-2
"0367",0.6,1,-1.75
"0368",0.6,1,-1.5
"0369",0.6,1,-1.25
"0370",0.6,1,-1
"0371",0.6,1,-0.75
"0372",0.6,1,-0.5
"0373",0.6,1,-0.25
"0374",0.6,1,0
"0375",0.6,1.25,-4
"0376",0.6,1.25,-3.75
"0377",0.6,1.25,-3.5
"0378",0.6,1.25,-3.25
"0379",0.6,1.25,-3
"0380",0.6,1.25,-2.75
"0381",0.6,1.25,-2.5
"0382",0.6,1.25,-2.25
"0383",0.6,1.25,-2
"0384",0.6,1.25,-1.75
"0385",0.6,1.25,-1.5
"0386",0.6,1.25,-1.25
"0387",0.6,1.25,-1
"0388",0.6,1.25,-0.75
"0389",0.6,1.25,-0.5
"0390",0.6,1.25,-0.25
"0391",0.6,1.25,0
"0392",0.6,1.5,-4
"0393",0.6,1.5,-3.75
"0394",0.6,1.5,-3.5
"0395",0.6,1.5,-3.25
"0396",0.6,1.5,-3
"0397",0.6,1.5,-2.75
"0398",0.6,1.5,-2.5
"0399",0.6,1.5,-2.25
"0400",0.6,1.5,-2
"0401",0.6,1.5,-1.75
"0402",0.6,1.5,-1.5
"0403",0.6,1.5,-1.25
"0404",0.6,1.5,-1
"0405",0.6,1.5,-0.75
"0406",0.6,1.5,-0.5
"0407",0.6,1.5,-0.25
"0408",0.6,1.5,0
"0409",0.6,1.75,-4
"0410",0.6,1.75,-3.75
"0411",0.6,1.75,-3.5
"0412",0.6,1.75,-3.25
"0413",0.6,1.75,-3
"0414",0.6,1.75,-2.75
"0415",0.6,1.75,-2.5
"0416",0.6,1.75,-2.25
"0417",0.6,1.75,-2
"0418",0.6,1.75,-1.75
"0419",0.6,1.75,-1.5
"0420",0.6,1.75,-1.25
"0421",0.6,1.75,-1
"0422",0.6,1.75,-0.75
"0423",0.6,1.75,-0.5
"0424",0.6,1.75,-0.25
"0425",0.6,1.75,0
"0426",0.6,2,-4
"0427",0.6,2,-3.75
"0428",0.6,2,-3.5
"0429",0.6,2,-3.25
"0430",0.6,2,-3
"0431",0.6,2,-2.75
"0432",0.6,2,-2.5
"0433",0.6,2,-2.25
"0434",0.6,2,-2
"0435",0.6,2,-1.75
"0436",0.6,2,-1.5
"0437",0.6,2,-1.25
"0438",0.6,2,-1
"0439",0.6,2,-0.75
"0440",0.6,2,-0.5
"0441",0.6,2,-0.25
"0442",0.6,2,0
"0443",0.6,2.25,-4
"0444",0.6,2.25,-3.75
"0445",0.6,2.25,-3.5
"0446",0.6,2.25,-3.25
"0447",0.6,2.25,-3
"0448",0.6,2.25,-2.75
"0449",0.6,2.25,-2.5
"0450",0.6,2.25,-2.25
"0451",0.6,2.25,-2
"0452",0.6,2.25,-1.75
"0453",0.6,2.25,-1.5
"0454",0.6,2.25,-1.25
"0455",0.6,2.25,-1
"0456",0.6,2.25,-0.75
"0457",0.6,2.25,-0.5
"0458",0.6,2.25,-0.25
"0459",0.6,2.25,0
"0460",0.6,2.5,-4
"0461",0.6,2.5,-3.75
"0462",0.6,2.5,-3.5
"0463",0.6,2.5,-3.25
"0464",0.6,2.5,-3
"0465",0.6,2.5,-2.75
"0466",0.6,2.5,-2.5
"0467",0.6,2.5,-2.25
"0468",0.6,2.5,-2
"0469",0.6,2.5,-1.75
"0470",0.6,2.5,-1.5
"0471",0.6,2.5,-1.25
"0472",0.6,2.5,-1
"0473",0.6,2.5,-0.75
"0474",0.6,2.5,-0.5
"0475",0.6,2.5,-0.25
"0476",0.6,2.5,0
"0477",0.6,2.75,-4
"0478",0.6,2.75,-3.75
"0479",0.6,2.75,-3.5
"0480",0.6,2.75,-3.25
"0481",0.6,2.75,-3
"0482",0.6,2.75,-2.75
"0483",0.6,2.75,-2.5
"0484",0.6,2.75,-2.25
"0485",0.6,2.75,-2
"0486",0.6,2.75,-1.75
"0487",0.6,2.75,-1.5
"0488",0.6,2.75,-1.25
"0489",0.6,2.75,-1
"0490",0.6,2.75,-0.75
"0491",0.6,2.75,-0.5
"0492",0.6,2.75,-0.25
"0493",0.6,2.75,0
"0494",0.6,3,-4
"0495",0.6,3,-3.75
"0496",0.6,3,-3.5
"0497",0.6,3,-3.25
"0498",0.6,3,-3
"0499",0.6,3,-2.75
"0500",0.6,3,-2.5
"0501",0.6,3,-2.25
"0502",0.6,3,-2
"0503",0.6,3,-1.75
"0504",0.6,3,-1.5
"0505",0.6,3,-1.25
"0506",0.6,3,-1
"0507",0.6,3,-0.75
"0508",0.6,3,-0.5
"0509",0.6,3,-0.25
"0510",0.6,3,0
"0511",0.6,3.25,-4
"0512",0.6,3.25,-3.75
"0513",0.6,3.25,-3.5
"0514",0.6,3.25,-3.25
"0515",0.6,3.25,-3
"0516",0.6,3.25,-2.75
"0517",0.6,3.25,-2.5
"0518",0.6,3.25,-2.25
"0519",0.6,3.25,-2
"0520",0.6,3.25,-1.75
"0521",0.6,3.25,-1.5
"0522",0.6,3.25,-1.25
