"number","SnowCorrFactor","ThresTempRain","ThresTempSnow","IrriducibleWatSatSnow","SnowAgingCoeffVis","SnowAgingCoeffNIR","RMSE","NRMSE","NSE","R2"
"0016",1.22767371338629,2.2343629587004,-2.0049012639476,0.04,0.25,0.45,333.003349122971,0.756288656631303,-12.0145674520368,0.411336402089776
"0017",0.976981075935531,2.25552950812876,-2.53460072248802,0.04,0.25,0.45,227.477294302898,0.516626928154205,-5.07307498980638,0.403094836367132
"0018",0.884859422097914,3.03606916434597,-0.90554137292318,0.04,0.25,0.45,217.926309705543,0.494935550786186,-4.57380621261797,0.418537907867197
"0019",1.32994246017095,2.74424969751295,-2.06797250226513,0.04,0.25,0.45,377.869985332293,0.858185914168443,-15.757812596852,0.405316182650456
"0020",1.18704236683203,2.46126963343378,-1.99068802624289,0.04,0.25,0.45,321.449998524339,0.730049677273163,-11.1271679471205,0.400280660097194
"0021",0.867818411374232,0.919163130903617,-2.98718456563074,0.04,0.25,0.45,156.869017770847,0.356267464064379,-1.88806451411555,0.352419335296987
"0022",0.977090896271169,0.428101024390198,-0.406345863214694,0.04,0.25,0.45,227.951841766738,0.517704679668958,-5.09843988100244,0.402994766457803
"0023",0.747652532101609,2.16234826584626,-0.861563248763792,0.04,0.25,0.45,160.442240544661,0.36438266127957,-2.02113388708311,0.389823495787699
"0024",0.627036307479022,1.88847601120546,-2.85827796490956,0.04,0.25,0.45,103.61375295915,0.235318672440936,-0.259990714863987,0.398128811318174
"0025",0.682424356328556,3.59291885418631,-2.46676420338452,0.04,0.25,0.45,138.276298857966,0.314041274908085,-1.24402674687431,0.391887230776608
"0026",0.564677638840163,3.13343951861281,-2.56437913904898,0.04,0.25,0.45,99.8010788812323,0.226659653953118,-0.168969037695744,0.370280066349558
"0027",0.796849238074617,1.46749847006705,-0.565242260555737,0.04,0.25,0.45,174.448746852643,0.396193037564555,-2.57164465358389,0.414173001892474
"0028",0.924848499416141,2.01157788532507,-1.1976168867331,0.04,0.25,0.45,223.869713240542,0.50843369933977,-4.88197564337208,0.416291934865126
"0029",1.10543648706446,2.07097786498442,-2.19071662564948,0.04,0.25,0.45,273.998215408477,0.622281255718329,-7.81105686851686,0.378270126583922
"0030",1.06969334044564,1.29159063369222,-3.66704462710209,0.04,0.25,0.45,236.624306586692,0.53740083823805,-5.57129924280198,0.369086832381419
"0031",1.36136622244935,1.72111712269392,-2.50828096828517,0.04,0.25,0.45,349.79752608938,0.79443015151598,-13.3603823457374,0.365117756482774
"0032",1.2047946459346,1.00436714193504,-2.73234978712443,0.04,0.25,0.45,289.281260841785,0.656990798221229,-8.82139412390351,0.36532240776107
"0033",1.10460205268767,2.1573463908853,-1.50498573263828,0.04,0.25,0.45,292.666255422171,0.66467850770117,-9.052586938669,0.397245303523287
"0034",0.775520997102605,2.33322062632535,-2.2766117108427,0.04,0.25,0.45,163.523483058976,0.3713805151091,-2.13828798399115,0.376676300420124
