"date","Tsoil.C","fire.sev","datasource"
2008-03-18,-7.7608927084,"Severe","gapfill"
2008-03-19,-7.8145333338,"Severe","gapfill"
2008-03-20,-7.8910333326,"Severe","gapfill"
2008-03-21,-7.9616552082,"Severe","gapfill"
2008-03-22,-8.0439781258,"Severe","gapfill"
2008-03-23,-8.0994968758,"Severe","gapfill"
2008-03-24,-8.1199156256,"Severe","gapfill"
2008-03-25,-8.0896385416,"Severe","gapfill"
2008-03-26,-8.0478635416,"Severe","gapfill"
2008-03-27,-8.0433562494,"Severe","gapfill"
2008-03-28,-8.0678479166,"Severe","gapfill"
2008-03-29,-8.1103937506,"Severe","gapfill"
2008-03-30,-8.1012124992,"Severe","gapfill"
2008-03-31,-8.0185218758,"Severe","gapfill"
2008-04-01,-7.9627374994,"Severe","gapfill"
2008-04-02,-7.9537989584,"Severe","gapfill"
2008-04-03,-7.9808239584,"Severe","gapfill"
2008-04-04,-8.0138052076,"Severe","gapfill"
2008-04-05,-8.0604031244,"Severe","gapfill"
2008-04-06,-8.09811875,"Severe","gapfill"
2008-04-07,-8.0865739576,"Severe","gapfill"
2008-04-08,-8.0760979166,"Severe","gapfill"
2008-04-09,-8.027533334,"Severe","gapfill"
2008-04-10,-7.9403197922,"Severe","gapfill"
2008-04-11,-7.8265302076,"Severe","gapfill"
2008-04-12,-7.6590281242,"Severe","gapfill"
2008-04-13,-7.4959822916,"Severe","gapfill"
2008-04-14,-7.3487156248,"Severe","gapfill"
2008-04-15,-7.2350583334,"Severe","gapfill"
2008-04-16,-7.110004166,"Severe","gapfill"
2008-04-17,-7.001589584,"Severe","gapfill"
2008-04-18,-6.9113583342,"Severe","gapfill"
2008-04-19,-6.7798187506,"Severe","gapfill"
2008-04-20,-6.6052104164,"Severe","gapfill"
2008-04-21,-6.44909375,"Severe","gapfill"
2008-04-22,-6.2489083332,"Severe","gapfill"
2008-04-23,-6.0352552082,"Severe","gapfill"
2008-04-24,-5.7727114584,"Severe","gapfill"
2008-04-25,-5.1509500002,"Severe","gapfill"
2008-04-26,-4.7571708334,"Severe","gapfill"
2008-04-27,-4.5434593748,"Severe","gapfill"
2008-04-28,-4.3565729168,"Severe","gapfill"
2008-04-29,-4.2004541666,"Severe","gapfill"
2008-04-30,-3.8675979168,"Severe","gapfill"
2008-05-01,-3.5455385416,"Severe","gapfill"
2008-05-02,-3.4072177086,"Severe","gapfill"
2008-05-03,-3.2951791668,"Severe","gapfill"
2008-05-04,-3.2832802084,"Severe","gapfill"
2008-05-05,-3.3249749998,"Severe","gapfill"
2008-05-06,-3.2429635418,"Severe","gapfill"
2008-05-07,-3.1842447916,"Severe","gapfill"
2008-05-08,-3.0150947918,"Severe","gapfill"
2008-05-09,-2.8460770834,"Severe","gapfill"
2008-05-10,-2.6506531248,"Severe","gapfill"
2008-05-11,-2.5006770834,"Severe","gapfill"
2008-05-12,-2.4109166666,"Severe","gapfill"
2008-05-13,-2.3555885416,"Severe","gapfill"
2008-05-14,-2.3200447918,"Severe","gapfill"
2008-05-15,-2.2404177084,"Severe","gapfill"
2008-05-16,-2.0813177082,"Severe","gapfill"
2008-05-17,-1.9530718748,"Severe","gapfill"
2008-05-18,-1.8716906248,"Severe","gapfill"
2008-05-19,-1.72678472216667,"Severe","gapfill"
2008-05-20,-1.4723854165,"Severe","gapfill"
2008-05-21,-1.00542857142857,"Severe","gapfill"
2008-05-22,-0.58909375,"Severe","gapfill"
2008-05-23,-0.234506377714286,"Severe","gapfill"
2008-05-24,-0.270106272142857,"Severe","gapfill"
2008-05-25,0.0865024221428572,"Severe","gapfill"
2008-05-26,0.448020585142857,"Severe","gapfill"
2008-05-27,0.462028527285714,"Severe","gapfill"
2008-05-28,0.175061011714286,"Severe","gapfill"
2008-05-29,0.454127232285714,"Severe","gapfill"
2008-05-30,0.691052827571429,"Severe","gapfill"
2008-05-31,1.169674107,"Severe","gapfill"
2008-06-01,1.55648437514286,"Severe","gapfill"
2008-06-02,2.143279762,"Severe","gapfill"
2008-06-03,2.604093006,"Severe","gapfill"
2008-06-04,2.69217485128571,"Severe","gapfill"
2008-06-05,2.590623512,"Severe","gapfill"
2008-06-06,2.89829985128571,"Severe","gapfill"
2008-06-07,3.30031622014286,"Severe","gapfill"
2008-06-08,3.58697767857143,"Severe","gapfill"
2008-06-09,3.47139583328571,"Severe","gapfill"
2008-06-10,3.07084226185714,"Severe","gapfill"
2008-06-11,3.55627306557143,"Severe","gapfill"
2008-06-12,4.20178695428571,"Severe","gapfill"
2008-06-13,4.658532242,"Severe","gapfill"
2008-06-14,5.13191493057143,"Severe","gapfill"
2008-06-15,7.81645,"Severe","observed"
2008-06-16,5.926125,"Severe","observed"
2008-06-17,5.8581875,"Severe","observed"
2008-06-18,4.583885417,"Severe","observed"
2008-06-19,6.228958333,"Severe","observed"
2008-06-20,7.970375,"Severe","observed"
2008-06-21,8.58434375,"Severe","observed"
2008-06-22,7.945021739,"Severe","observed"
2008-06-23,8.606427083,"Severe","observed"
2008-06-24,8.52290625,"Severe","observed"
2008-06-25,8.363552083,"Severe","observed"
2008-06-26,9.293635417,"Severe","observed"
2008-06-27,8.637083333,"Severe","observed"
2008-06-28,7.32159375,"Severe","observed"
2008-06-29,9.045333333,"Severe","observed"
2008-06-30,9.0293125,"Severe","observed"
2008-07-01,8.062010417,"Severe","observed"
2008-07-02,8.76125,"Severe","observed"
2008-07-03,9.757552083,"Severe","observed"
2008-07-04,10.5674375,"Severe","observed"
2008-07-05,11.07866667,"Severe","observed"
2008-07-06,10.68089583,"Severe","observed"
2008-07-07,10.89445833,"Severe","observed"
2008-07-08,10.37510417,"Severe","observed"
2008-07-09,10.78740625,"Severe","observed"
2008-07-10,10.0534375,"Severe","observed"
2008-07-11,9.876302083,"Severe","observed"
2008-07-12,10.85607292,"Severe","observed"
2008-07-13,10.51047917,"Severe","observed"
2008-07-14,10.52794792,"Severe","observed"
2008-07-15,10.53177083,"Severe","observed"
2008-07-16,10.1928125,"Severe","observed"
2008-07-17,8.550302083,"Severe","observed"
2008-07-18,6.580322917,"Severe","observed"
2008-07-19,8.237833333,"Severe","observed"
2008-07-20,8.762041667,"Severe","observed"
2008-07-21,6.5100625,"Severe","observed"
2008-07-22,4.588125,"Severe","observed"
2008-07-23,4.968958333,"Severe","observed"
2008-07-24,6.3823125,"Severe","observed"
2008-07-25,7.731302083,"Severe","observed"
2008-07-26,9.091989583,"Severe","observed"
2008-07-27,9.741375,"Severe","observed"
2008-07-28,10.25973958,"Severe","observed"
2008-07-29,8.29140625,"Severe","observed"
2008-07-30,4.7570625,"Severe","observed"
2008-07-31,4.039666667,"Severe","observed"
2008-08-01,4.424572917,"Severe","observed"
2008-08-02,4.161604167,"Severe","observed"
2008-08-03,4.163864583,"Severe","observed"
2008-08-04,5.13315625,"Severe","observed"
2008-08-05,4.58040625,"Severe","observed"
2008-08-06,5.215770833,"Severe","observed"
2008-08-07,4.959583333,"Severe","observed"
2008-08-08,4.949229167,"Severe","observed"
2008-08-09,4.532020833,"Severe","observed"
2008-08-10,4.555979167,"Severe","observed"
2008-08-11,5.082083333,"Severe","observed"
2008-08-12,5.392114583,"Severe","observed"
2008-08-13,5.146041667,"Severe","observed"
2008-08-14,5.287260417,"Severe","observed"
2008-08-15,6.100354167,"Severe","observed"
2008-08-16,5.82209375,"Severe","observed"
2008-08-17,4.883833333,"Severe","observed"
2008-08-18,4.145635417,"Severe","observed"
2008-08-19,3.849802083,"Severe","observed"
2008-08-20,3.330010417,"Severe","observed"
2008-08-21,3.529364583,"Severe","observed"
2008-08-22,4.14828125,"Severe","observed"
2008-08-23,4.089989583,"Severe","observed"
2008-08-24,4.239104167,"Severe","observed"
2008-08-25,3.9838125,"Severe","observed"
2008-08-26,3.699854167,"Severe","observed"
2008-08-27,3.498010417,"Severe","observed"
2008-08-28,3.890541667,"Severe","observed"
2008-08-29,3.887833333,"Severe","observed"
2008-08-30,4.1434375,"Severe","observed"
2008-08-31,3.67159375,"Severe","observed"
2008-09-01,2.965177083,"Severe","observed"
2008-09-02,2.3828125,"Severe","observed"
2008-09-03,2.228802083,"Severe","observed"
2008-09-04,2.3755625,"Severe","observed"
2008-09-05,2.747958333,"Severe","observed"
2008-09-06,2.374729167,"Severe","observed"
2008-09-07,2.237270833,"Severe","observed"
2008-09-08,1.5759375,"Severe","observed"
2008-09-09,1.27928125,"Severe","observed"
2008-09-10,1.147989583,"Severe","observed"
2008-09-11,0.729791667,"Severe","observed"
2008-09-12,0.726552083,"Severe","observed"
2008-09-13,0.246333333,"Severe","observed"
2008-09-14,-0.095491578,"Severe","observed"
2008-09-15,-0.007489583,"Severe","observed"
2008-09-16,-0.094885417,"Severe","observed"
2008-09-17,-0.168583333,"Severe","observed"
2008-09-18,0.016229167,"Severe","observed"
2008-09-19,0.3481875,"Severe","observed"
2008-09-20,0.123489583,"Severe","observed"
2008-09-21,-0.010583333,"Severe","observed"
2008-09-22,-0.076744459,"Severe","observed"
2008-09-23,-0.072458333,"Severe","observed"
2008-09-24,-0.15,"Severe","observed"
2008-09-25,-0.228385417,"Severe","observed"
2008-09-26,-0.274395833,"Severe","observed"
2008-09-27,-0.318510417,"Severe","observed"
2008-09-28,-0.302916667,"Severe","observed"
2008-09-29,-0.388979167,"Severe","observed"
2008-09-30,-0.388145833,"Severe","observed"
2008-10-01,-0.38959375,"Severe","observed"
2008-10-02,-0.416604167,"Severe","observed"
2008-10-03,-0.334666667,"Severe","observed"
2008-10-04,-0.321802083,"Severe","observed"
2008-10-05,-0.357416667,"Severe","observed"
2008-10-06,-0.339552083,"Severe","observed"
2008-10-07,-0.331791667,"Severe","observed"
2008-10-08,-0.33621875,"Severe","observed"
2008-10-09,-0.368541667,"Severe","observed"
2008-10-10,-0.380427083,"Severe","observed"
2008-10-11,-0.35225,"Severe","observed"
2008-10-12,-0.316989583,"Severe","observed"
2008-10-13,-0.302,"Severe","observed"
2008-10-14,-0.304385417,"Severe","observed"
2008-10-15,-0.323708333,"Severe","observed"
2008-10-16,-0.327666667,"Severe","observed"
2008-10-17,-0.334875,"Severe","observed"
2008-10-18,-0.333083333,"Severe","observed"
2008-10-19,-0.335541667,"Severe","observed"
2008-10-20,-0.352239583,"Severe","observed"
2008-10-21,-0.3676875,"Severe","observed"
2008-10-22,-0.36953125,"Severe","observed"
2008-10-23,-0.3726875,"Severe","observed"
2008-10-24,-0.399114583,"Severe","observed"
2008-10-25,-0.4073125,"Severe","observed"
2008-10-26,-0.415604167,"Severe","observed"
2008-10-27,-0.417552083,"Severe","observed"
2008-10-28,-0.397385417,"Severe","observed"
2008-10-29,-0.404322917,"Severe","observed"
2008-10-30,-0.43775,"Severe","observed"
2008-10-31,-0.463479167,"Severe","observed"
2008-11-01,-0.53384375,"Severe","observed"
2008-11-02,-0.602447917,"Severe","observed"
2008-11-03,-0.651239583,"Severe","observed"
2008-11-04,-0.614927083,"Severe","observed"
2008-11-05,-0.567010417,"Severe","observed"
2008-11-06,-0.545822917,"Severe","observed"
2008-11-07,-0.543885417,"Severe","observed"
2008-11-08,-0.584666667,"Severe","observed"
2008-11-09,-0.684708333,"Severe","observed"
2008-11-10,-0.804572917,"Severe","observed"
2008-11-11,-0.8725,"Severe","observed"
2008-11-12,-0.909083333,"Severe","observed"
2008-11-13,-0.878770833,"Severe","observed"
2008-11-14,-0.807145833,"Severe","observed"
2008-11-15,-0.793760417,"Severe","observed"
2008-11-16,-0.79625,"Severe","observed"
2008-11-17,-0.821458333,"Severe","observed"
2008-11-18,-0.89325,"Severe","observed"
2008-11-19,-0.985885417,"Severe","observed"
2008-11-20,-1.024177083,"Severe","observed"
2008-11-21,-1.06475,"Severe","observed"
2008-11-22,-1.157635417,"Severe","observed"
2008-11-23,-1.318479167,"Severe","observed"
2008-11-24,-1.482322917,"Severe","observed"
2008-11-25,-1.554104167,"Severe","observed"
2008-11-26,-1.56934375,"Severe","observed"
2008-11-27,-1.551166667,"Severe","observed"
2008-11-28,-1.652427083,"Severe","observed"
2008-11-29,-1.72496875,"Severe","observed"
2008-11-30,-1.726520833,"Severe","observed"
2008-12-01,-1.671552083,"Severe","observed"
2008-12-02,-1.71528125,"Severe","observed"
2008-12-03,-1.842385417,"Severe","observed"
2008-12-04,-1.954333333,"Severe","observed"
2008-12-05,-2.0251875,"Severe","observed"
2008-12-06,-2.119458333,"Severe","observed"
2008-12-07,-2.34828125,"Severe","observed"
2008-12-08,-2.56303125,"Severe","observed"
2008-12-09,-2.543864583,"Severe","observed"
2008-12-10,-2.407666667,"Severe","observed"
2008-12-11,-2.30565625,"Severe","observed"
2008-12-12,-2.4364375,"Severe","observed"
2008-12-13,-2.59871875,"Severe","observed"
2008-12-14,-2.37321875,"Severe","observed"
2008-12-15,-1.98721875,"Severe","observed"
2008-12-16,-2.562145833,"Severe","observed"
2008-12-17,-2.884135417,"Severe","observed"
2008-12-18,-2.51115625,"Severe","observed"
2008-12-19,-2.060302083,"Severe","observed"
2008-12-20,-1.863166667,"Severe","observed"
2008-12-21,-2.064052083,"Severe","observed"
2008-12-22,-2.427260417,"Severe","observed"
2008-12-23,-2.525270833,"Severe","observed"
2008-12-24,-2.670770833,"Severe","observed"
2008-12-25,-2.636583333,"Severe","observed"
2008-12-26,-2.614177083,"Severe","observed"
2008-12-27,-2.748947917,"Severe","observed"
2008-12-28,-2.864395833,"Severe","observed"
2008-12-29,-3.223927083,"Severe","observed"
2008-12-30,-3.7410625,"Severe","observed"
2008-12-31,-4.340829787,"Severe","observed"
2009-01-01,-4.486104167,"Severe","observed"
2009-01-02,-4.890541667,"Severe","observed"
2009-01-03,-5.22778125,"Severe","observed"
2009-01-04,-5.468760417,"Severe","observed"
2009-01-05,-5.85403125,"Severe","observed"
2009-01-06,-6.29496875,"Severe","observed"
2009-01-07,-6.636364583,"Severe","observed"
2009-01-08,-6.908625,"Severe","observed"
2009-01-09,-7.100583333,"Severe","observed"
2009-01-10,-7.304010417,"Severe","observed"
2009-01-11,-7.42846875,"Severe","observed"
2009-01-12,-7.378604167,"Severe","observed"
2009-01-13,-7.090510417,"Severe","observed"
2009-01-14,-6.42128125,"Severe","observed"
2009-01-15,-5.69553125,"Severe","observed"
2009-01-16,-5.37378125,"Severe","observed"
2009-01-17,-4.972958333,"Severe","observed"
2009-01-18,-5.48359375,"Severe","observed"
2009-01-19,-6.371520833,"Severe","observed"
2009-01-20,-7.2445,"Severe","observed"
2009-01-21,-7.55146875,"Severe","observed"
2009-01-22,-7.447270833,"Severe","observed"
2009-01-23,-7.331875,"Severe","observed"
2009-01-24,-7.12084375,"Severe","observed"
2009-01-25,-7.0946875,"Severe","observed"
2009-01-26,-7.564520833,"Severe","observed"
2009-01-27,-8.368125,"Severe","observed"
2009-01-28,-8.83059375,"Severe","observed"
2009-01-29,-9.4125,"Severe","observed"
2009-01-30,-9.943333333,"Severe","observed"
2009-01-31,-10.17083333,"Severe","observed"
2009-02-01,-10.31041667,"Severe","observed"
2009-02-02,-10.7071875,"Severe","observed"
2009-02-03,-11.17177083,"Severe","observed"
2009-02-04,-11.57177083,"Severe","observed"
2009-02-05,-11.80552083,"Severe","observed"
2009-02-06,-11.6703125,"Severe","observed"
2009-02-07,-11.49677083,"Severe","observed"
2009-02-08,-11.51458333,"Severe","observed"
2009-02-09,-11.84333333,"Severe","observed"
2009-02-10,-12.16177083,"Severe","observed"
2009-02-11,-12.075,"Severe","observed"
2009-02-12,-11.69208333,"Severe","observed"
2009-02-13,-10.7725,"Severe","observed"
2009-02-14,-9.9578125,"Severe","observed"
2009-02-15,-9.736666667,"Severe","observed"
2009-02-16,-9.4865625,"Severe","observed"
2009-02-17,-9.73625,"Severe","observed"
2009-02-18,-9.84875,"Severe","observed"
2009-02-19,-9.266666667,"Severe","observed"
2009-02-20,-9.550416667,"Severe","observed"
2009-02-21,-9.9721875,"Severe","observed"
2009-02-22,-9.563854167,"Severe","observed"
2009-02-23,-8.9203125,"Severe","observed"
2009-02-24,-8.41125,"Severe","observed"
2009-02-25,-8.144333333,"Severe","observed"
2009-02-26,-8.555833333,"Severe","observed"
2009-02-27,-8.973541667,"Severe","observed"
2009-02-28,-8.876041667,"Severe","observed"
2009-03-01,-9.169166667,"Severe","observed"
2009-03-02,-9.8103125,"Severe","observed"
2009-03-03,-10.17760417,"Severe","observed"
2009-03-04,-10.34114583,"Severe","observed"
2009-03-05,-10.081875,"Severe","observed"
2009-03-06,-9.889166667,"Severe","observed"
2009-03-07,-10.13427083,"Severe","observed"
2009-03-08,-10.381875,"Severe","observed"
2009-03-09,-10.09458333,"Severe","observed"
2009-03-10,-9.683020833,"Severe","observed"
2009-03-11,-9.585,"Severe","observed"
2009-03-12,-10.0865625,"Severe","observed"
2009-03-13,-10.80958333,"Severe","observed"
2009-03-14,-11.5471875,"Severe","observed"
2009-03-15,-12.21208333,"Severe","observed"
2009-03-16,-12.72260417,"Severe","observed"
2009-03-17,-13.016875,"Severe","observed"
2009-03-18,-13.1084375,"Severe","observed"
2009-03-19,-13.2934375,"Severe","observed"
2009-03-20,-13.49479167,"Severe","observed"
2009-03-21,-13.67833333,"Severe","observed"
2009-03-22,-13.7609375,"Severe","observed"
2009-03-23,-13.80854167,"Severe","observed"
2009-03-24,-13.82197917,"Severe","observed"
2009-03-25,-13.82666667,"Severe","observed"
2009-03-26,-13.6296875,"Severe","observed"
2009-03-27,-13.4359375,"Severe","observed"
2009-03-28,-13.42020833,"Severe","observed"
2009-03-29,-13.461875,"Severe","observed"
2009-03-30,-13.51947917,"Severe","observed"
2009-03-31,-13.37833333,"Severe","observed"
2009-04-01,-13.04197917,"Severe","observed"
2009-04-02,-12.82833333,"Severe","observed"
2009-04-03,-12.7496875,"Severe","observed"
2009-04-04,-12.7128125,"Severe","observed"
2009-04-05,-12.63520833,"Severe","observed"
2009-04-06,-12.54520833,"Severe","observed"
2009-04-07,-12.3328125,"Severe","observed"
2009-04-08,-11.86958333,"Severe","observed"
2009-04-09,-11.5096875,"Severe","observed"
2009-04-10,-11.28479167,"Severe","observed"
2009-04-11,-11.28260417,"Severe","observed"
2009-04-12,-11.36770833,"Severe","observed"
2009-04-13,-11.23864583,"Severe","observed"
2009-04-14,-11.0603125,"Severe","observed"
2009-04-15,-10.916875,"Severe","observed"
2009-04-16,-10.8340625,"Severe","observed"
2009-04-17,-10.65020833,"Severe","observed"
2009-04-18,-10.47416667,"Severe","observed"
2009-04-19,-10.34291667,"Severe","observed"
2009-04-20,-10.15916667,"Severe","observed"
2009-04-21,-9.984895833,"Severe","observed"
2009-04-22,-9.869375,"Severe","observed"
2009-04-23,-9.546666667,"Severe","observed"
2009-04-24,-9.168333333,"Severe","observed"
2009-04-25,-8.445833333,"Severe","observed"
2009-04-26,-5.708760417,"Severe","observed"
2009-04-27,-3.93721875,"Severe","observed"
2009-04-28,-3.005645833,"Severe","observed"
2009-04-29,-2.165354167,"Severe","observed"
2009-04-30,-1.619447917,"Severe","observed"
2009-05-01,-1.170416667,"Severe","observed"
2009-05-02,-1.156895833,"Severe","observed"
2009-05-03,-1.449697917,"Severe","observed"
2009-05-04,-1.860229167,"Severe","observed"
2009-05-05,-2.092697917,"Severe","observed"
2009-05-06,-2.220520833,"Severe","observed"
2009-05-07,-1.789072917,"Severe","observed"
2009-05-08,-1.608770833,"Severe","observed"
2009-05-09,-1.560791667,"Severe","observed"
2009-05-10,-1.409125,"Severe","observed"
2009-05-11,-1.378583333,"Severe","observed"
2009-05-12,-1.318510417,"Severe","observed"
2009-05-13,-1.517239583,"Severe","observed"
2009-05-14,-1.567989583,"Severe","observed"
2009-05-15,-1.648375,"Severe","observed"
2009-05-16,-1.477364583,"Severe","observed"
2009-05-17,-0.912604167,"Severe","observed"
2009-05-18,-0.515864583,"Severe","observed"
2009-05-19,-0.422395833,"Severe","observed"
2009-05-20,-0.365,"Severe","observed"
2009-05-21,-0.305927083,"Severe","observed"
2009-05-22,-0.13834375,"Severe","observed"
2009-05-23,0.51165625,"Severe","observed"
2009-05-24,1.414177083,"Severe","observed"
2009-05-25,0.390437278,"Severe","observed"
2009-05-26,-0.076675754,"Severe","observed"
2009-05-27,0.494489583,"Severe","observed"
2009-05-28,0.403729167,"Severe","observed"
2009-05-29,0.384864583,"Severe","observed"
2009-05-30,1.64353125,"Severe","observed"
2009-05-31,2.290322917,"Severe","observed"
2009-06-01,3.194802083,"Severe","observed"
2009-06-02,3.626385417,"Severe","observed"
2009-06-03,4.760604167,"Severe","observed"
2009-06-04,5.09340625,"Severe","observed"
2009-06-05,4.788760417,"Severe","observed"
2009-06-06,3.671697917,"Severe","observed"
2009-06-07,4.887135417,"Severe","observed"
2009-06-08,5.4569375,"Severe","observed"
2009-06-09,5.043145833,"Severe","observed"
2009-06-10,5.260354167,"Severe","observed"
2009-06-11,5.371635417,"Severe","observed"
2009-06-12,5.739625,"Severe","observed"
2009-06-13,4.591291667,"Severe","observed"
2009-06-14,5.261208333,"Severe","observed"
2009-06-15,7.047635417,"Severe","observed"
2009-06-16,7.900541667,"Severe","observed"
2009-06-17,6.304895833,"Severe","observed"
2009-06-18,4.304625,"Severe","observed"
2009-06-19,4.139614583,"Severe","observed"
2009-06-20,5.253229167,"Severe","observed"
2009-06-21,6.752458333,"Severe","observed"
2009-06-22,6.824791667,"Severe","observed"
2009-06-23,6.57825,"Severe","observed"
2009-06-24,7.079697917,"Severe","observed"
2009-06-25,6.403947917,"Severe","observed"
2009-06-26,5.666364583,"Severe","observed"
2009-06-27,5.910864583,"Severe","observed"
2009-06-28,6.6585,"Severe","observed"
2009-06-29,8.117947917,"Severe","observed"
2009-06-30,9.269375,"Severe","observed"
2009-07-01,9.913822917,"Severe","observed"
2009-07-02,9.66046875,"Severe","observed"
2009-07-03,9.035114583,"Severe","observed"
2009-07-04,9.143333333,"Severe","observed"
2009-07-05,9.726114583,"Severe","observed"
2009-07-06,9.834020833,"Severe","observed"
2009-07-07,9.578135417,"Severe","observed"
2009-07-08,8.123635417,"Severe","observed"
2009-07-09,7.727354167,"Severe","observed"
2009-07-10,8.123697917,"Severe","observed"
2009-07-11,10.04264583,"Severe","observed"
2009-07-12,12.028875,"Severe","observed"
2009-07-13,12.76260417,"Severe","observed"
2009-07-14,11.23397917,"Severe","observed"
2009-07-15,10.94729167,"Severe","observed"
2009-07-16,10.89329167,"Severe","observed"
2009-07-17,9.988682292,"Severe","observed"
2009-07-18,9.108807292,"Severe","observed"
2009-07-19,9.933630208,"Severe","observed"
2009-07-20,8.435872396,"Severe","observed"
2009-07-21,7.201815104,"Severe","observed"
2009-07-22,6.01771875,"Severe","observed"
2009-07-23,6.868330729,"Severe","observed"
2009-07-24,7.806893229,"Severe","observed"
2009-07-25,8.165973958,"Severe","observed"
2009-07-26,9.307674479,"Severe","observed"
2009-07-27,10.16997135,"Severe","observed"
2009-07-28,10.0586224,"Severe","observed"
2009-07-29,11.06499479,"Severe","observed"
2009-07-30,10.55399219,"Severe","observed"
2009-07-31,9.566088542,"Severe","observed"
2009-08-01,8.630575521,"Severe","observed"
2009-08-02,8.513442708,"Severe","observed"
2009-08-03,8.718294271,"Severe","observed"
2009-08-04,9.022773438,"Severe","observed"
2009-08-05,7.839023438,"Severe","observed"
2009-08-06,7.805932292,"Severe","observed"
2009-08-07,7.915549479,"Severe","observed"
2009-08-08,5.525690104,"Severe","observed"
2009-08-09,4.309841146,"Severe","observed"
2009-08-10,5.463807292,"Severe","observed"
2009-08-11,6.652638021,"Severe","observed"
2009-08-12,7.507450521,"Severe","observed"
2009-08-13,7.825223958,"Severe","observed"
2009-08-14,6.763552083,"Severe","observed"
2009-08-15,6.090536458,"Severe","observed"
2009-08-16,7.096296875,"Severe","observed"
2009-08-17,5.772994792,"Severe","observed"
2009-08-18,5.757763021,"Severe","observed"
