"number","org.Ks","org.vwc_s","org.vwc_r","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","RMSE","NRMSE","NSE","R2","period","var","fire"
"0006",0.446998393486445,0.84,0.04,0.0023750699206494,1.29956984886106,0.309290276129032,2502065.61210449,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.173955689585904,0.225632424875378,0.518676169075458,0.611334517004012,"cal","Tower VWC","Moderate"
"0006",0.446998393486445,0.84,0.04,0.0023750699206494,1.29956984886106,0.309290276129032,2502065.61210449,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,266.207672278357,0.59406960816752,-1.88661468928299,0.872487924846503,"cal","Thaw Depth","Unburned"
"0006",0.446998393486445,0.84,0.04,0.0023750699206494,1.29956984886106,0.309290276129032,2502065.61210449,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.68501427038978,0.173245135803866,0.552905459942506,0.759145616183141,"val","Tower Soil Temp","Moderate"
"0006",0.446998393486445,0.84,0.04,0.0023750699206494,1.29956984886106,0.309290276129032,2502065.61210449,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.37973887053735,0.295571943153832,-0.35818731646866,0.719454361245885,"cal","Tower Soil Temp","Moderate"
"0006",0.446998393486445,0.84,0.04,0.0023750699206494,1.29956984886106,0.309290276129032,2502065.61210449,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,152.830569408641,0.256914914290129,0.382958841881102,0.954290016207573,"val","Thaw Depth","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.0956991188709963,0.147771336607128,0.834091548692971,0.900970655536466,"val","Tower VWC","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.9372466150882,0.44030878474899,-3.53240167461206,0.705407206100692,"cal","Tower Soil Temp","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,180.581468163669,0.402985988781467,-0.328293479044207,0.91467073103736,"cal","Thaw Depth","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.23968383718827,0.376751172597801,-0.179121172280778,0.616944783937413,"cal","Tower VWC","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.338924686904047,0.426091459551191,0.0328007502604376,0.35189533488341,"val","Tower VWC","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,NA,NA,NA,NA,"fail","fail","Severe"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.12200962725962,0.146776360189877,0.679085386427472,0.853051109759301,"val","Tower Soil Temp","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,134.645157562089,0.226344436512248,0.521066573768643,0.958473350496331,"val","Thaw Depth","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,170.283792649099,0.334407448096422,0.0102975231937474,0.946909689796326,"val","Thaw Depth","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.23346607749941,0.238073692416527,0.279329867875477,0.839883327432755,"val","Tower Soil Temp","Unburned"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.235501365157166,0.305461374723433,0.117840842109015,0.651526043813628,"cal","Tower VWC","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,173.577039217912,0.368284273235429,-0.300066266081884,0.911336624037765,"cal","Thaw Depth","Moderate"
"0007",0.896730639682142,0.84,0.04,0.00247217145317874,1.68420420959818,0.262401680642797,2840745.58171607,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.7122680540896,0.250526872649039,0.0242425155850606,0.666371565959845,"cal","Tower Soil Temp","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,214.822179794218,0.421873014582961,-0.575129503635752,0.945903607691896,"val","Thaw Depth","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.245892898102632,0.386510992065225,-0.241003227828978,0.620434277684536,"cal","Tower VWC","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,5.76671348576113,0.514281502396804,-5.18323138437372,0.770964555613637,"cal","Tower Soil Temp","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.2930681275251,0.289722863863044,-0.304964796130409,0.704976301428972,"cal","Tower Soil Temp","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.228432029954614,0.296291963548635,0.170007654352392,0.624982992565821,"cal","Tower VWC","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,5.08163435543522,0.285771382683132,-0.0383677234813129,0.737854371921839,"val","Tower Soil Temp","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.131145742600613,0.202505330279487,0.688426133078609,0.904428671302663,"val","Tower VWC","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.34588319867605,0.434839604941015,-0.00732236661072272,0.337168260641586,"val","Tower VWC","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.281611466093769,0.636170480633513,-1.3529297572041,0.403759666168375,"val","Tower VWC","Severe"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,197.174565675126,0.39127482912144,-0.504030089827213,0.913416072125285,"cal","Thaw Depth","Severe"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.15371016937558,0.202228155636727,0.452898567351492,0.902729442244098,"cal","Tower Soil Temp","Severe"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,265.233772775123,0.591896251962837,-1.86553242535149,0.921859089671453,"cal","Thaw Depth","Unburned"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,218.112449281549,0.462776558634635,-1.05277734698783,0.950475139214819,"cal","Thaw Depth","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.18866799790072,0.157532262699345,0.646257177707819,0.741616623036124,"val","Tower Soil Temp","Severe"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,173.895647108361,0.287609538834943,0.229240366210442,0.919482659955392,"val","Thaw Depth","Severe"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,156.69974183012,0.263419163439263,0.351320410803408,0.954578249692056,"val","Thaw Depth","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.65480918973082,0.171825091560679,0.560204851018605,0.771629901086667,"val","Tower Soil Temp","Moderate"
"0008",0.22007458119696,0.84,0.04,0.000911811071921955,3.45225872201419,0.209397773999954,2240584.46428366,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.346231326426919,0.740120887074801,-5.63143042480613,0.586989890587949,"cal","Tower VWC","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,174.680017154909,0.343040860562613,-0.0414645218820617,0.882851511567696,"val","Thaw Depth","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.3020084717622,0.29032621374228,-0.310405652077612,0.605782676418864,"cal","Tower Soil Temp","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.233371428167005,0.302698700797297,0.133725646753779,0.622134423331168,"cal","Tower VWC","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.259400419041494,0.407743021776967,-0.381090972600802,0.587903555071463,"cal","Tower VWC","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,5.54526048488177,0.494532093607252,-4.71745365788858,0.738752361589864,"cal","Tower Soil Temp","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.37257646834781,0.468398016806875,-0.168800496303616,0.267908955231492,"val","Tower VWC","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.268433782708688,0.606401617564807,-1.13787662047301,0.340771126680743,"val","Tower VWC","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.97450421179339,0.223510682713583,0.364800309120036,0.836196033676748,"val","Tower Soil Temp","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.119126265671332,0.18394576366997,0.742920357741928,0.886397816803802,"val","Tower VWC","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,217.237688362315,0.484788087811662,-0.92228610611242,0.947609610825834,"cal","Thaw Depth","Unburned"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,191.495687691644,0.406302875581933,-0.582336820688201,0.929770338242091,"cal","Thaw Depth","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,192.46223873172,0.381923648794341,-0.432998730411379,0.903727743200846,"cal","Thaw Depth","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.12704444079609,0.200518245461181,0.462111323479633,0.896932490095668,"cal","Tower Soil Temp","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,180.604884076372,0.303604759783329,0.138306826242949,0.841713952513444,"val","Thaw Depth","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.21090158445598,0.150955475402565,0.660550629883553,0.73554410092994,"val","Tower Soil Temp","Moderate"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.84706127314349,0.144684722543074,0.701603334263096,0.72380566646622,"val","Tower Soil Temp","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,175.212259766984,0.289787111223141,0.217524908757846,0.827641447078855,"val","Thaw Depth","Severe"
"0009",0.588051950371491,0.84,0.04,0.00103930796229362,2.95061078148668,0.189047940759629,3170697.56307802,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.334114521389189,0.714219416559164,-5.17540153438024,0.588937662791285,"cal","Tower VWC","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.13236705313387,0.232388275883172,0.313339389027779,0.843042077274991,"val","Tower Soil Temp","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.114895727723787,0.177413287149276,0.760855503084149,0.884721301863249,"val","Tower VWC","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,166.103626820118,0.326198336907726,0.0582920024907077,0.93938258837799,"val","Thaw Depth","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.90534678405159,0.263557022866542,-0.0798972698586984,0.674460592751986,"cal","Tower Soil Temp","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.271555230629889,0.352225703686206,-0.172941720316823,0.582789813921588,"cal","Tower VWC","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.264136583222873,0.415187643115987,-0.431983623244309,0.584118705361264,"cal","Tower VWC","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.9057977973434,0.437504146495618,-3.47484542091711,0.682287590969414,"cal","Tower Soil Temp","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.236266321036261,0.533734158967458,-0.65619676790131,0.339579423780475,"val","Tower VWC","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,162.381506519748,0.344530332957356,-0.137768929599532,0.896427876144437,"cal","Thaw Depth","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,140.894045575582,0.236849092319049,0.475580357604619,0.925940964184065,"val","Thaw Depth","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.363402030551003,0.456864039665487,-0.111947398780352,0.285567190430742,"val","Tower VWC","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,158.849014434834,0.354487798775478,-0.0278192105137982,0.889789062519288,"cal","Thaw Depth","Unburned"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.24426329297758,0.122014000057137,0.787788974222525,0.849528749768376,"val","Tower Soil Temp","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,171.199824508409,0.33973033920875,-0.133865051538077,0.86358021253384,"cal","Thaw Depth","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.37506204722244,0.21642209851657,0.373403712196408,0.747414892964981,"cal","Tower Soil Temp","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.77314118432132,0.177388283713692,0.531265272826269,0.861485699754095,"val","Tower Soil Temp","Moderate"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.27171929639293,0.580840355368955,-3.08427956099668,0.46720937737722,"cal","Tower VWC","Severe"
"0010",0.873540106000241,0.84,0.04,0.00163241800722538,2.21577812981091,0.201234209049435,2658470.62215232,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,174.099405832259,0.287946539522358,0.227433063825041,0.825749240725643,"val","Thaw Depth","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.55014563935778,0.166904499761675,0.58503319440898,0.845724902383981,"val","Tower Soil Temp","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.355040806370942,0.446352423509519,-0.0613682366388089,0.30589543416767,"val","Tower VWC","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.26576810812205,0.344719410057046,-0.123481224036025,0.589472595307462,"cal","Tower VWC","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,169.804489916347,0.285448821801424,0.238285873104876,0.871009734842066,"val","Thaw Depth","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.48202674843963,0.223281090967886,0.333057334408959,0.662419000054715,"cal","Tower Soil Temp","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.303857855094165,0.649541298234921,-4.10758301553803,0.468050279707931,"cal","Tower VWC","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.240827122277096,0.54403717381874,-0.720755187367762,0.359424505011856,"val","Tower VWC","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.96362953604176,0.267490304454167,-0.112370203385276,0.589166281098316,"cal","Tower Soil Temp","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,NA,NA,NA,NA,"fail","fail","Unburned"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,171.109628012025,0.363049083449801,-0.263367880889186,0.877747204957267,"cal","Thaw Depth","Moderate"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,196.430458401236,0.324880320429825,0.0165343404420096,0.799936142977612,"val","Thaw Depth","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,2.91665909650744,0.109693083153337,0.828483027867732,0.868804552989093,"val","Tower Soil Temp","Severe"
"0011",0.290425754926792,0.84,0.04,0.00101153541480808,2.50645182531041,0.22351032517181,2993998.38823965,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,181.458919889274,0.360088572423789,-0.27382973414661,0.859841029025189,"cal","Thaw Depth","Severe"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,4.0730907528728,0.274877426270121,-0.174657912769162,0.717622929293492,"cal","Tower Soil Temp","Moderate"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.252039560155467,0.32691254455531,-0.0104097191985306,0.568010964232827,"cal","Tower VWC","Moderate"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,3.56167643446557,0.167446601913199,0.582333210622835,0.816014347749472,"val","Tower Soil Temp","Moderate"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.343281342506201,0.431568587113779,0.00777550587836029,0.343316801980343,"val","Tower VWC","Moderate"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,0.257746136841297,0.582257839249917,-0.971027231540725,0.395065025626997,"val","Tower VWC","Severe"
"0012",0.744753933031091,0.84,0.04,0.00172923621820507,2.96895684096424,0.236906155640318,2564771.53355209,0.021,0.56,0.07,0.00241,1.33,1.62,2e+06,161.221921286191,0.271021146156835,0.313339831423604,0.946024470971609,"val","Thaw Depth","Moderate"
