"number","org.Ks","org.vwc_s","org.vwc_r","org.vwc_fc","org.vwc_wp","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.vwc_fc","min.vwc_wp","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","period","variable","RMSE.mean","NRMSE.mean","R2.mean","NSE.mean"
"0010",0.998078816614461,0.55,0.01,0.0789480239306851,0.0161163452178127,0.00771632016824326,1.63518823810271,12.9506704358564,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.79102208693007,0.247115794431072,0.74257644951184,0.00784319144932164
"0010",0.998078816614461,0.55,0.01,0.0789480239306851,0.0161163452178127,0.00771632016824326,1.63518823810271,12.9506704358564,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.16208171186702,0.306173312043298,0.436429964384773,0.184797774124935
"0011",0.169457038729955,0.55,0.01,0.0755287971497588,0.0125738918164078,0.00361006985496963,1.84935465487442,15.194614856207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.11673170301388,0.210843782423168,0.795991764731061,0.260284983738918
"0011",0.169457038729955,0.55,0.01,0.0755287971497588,0.0125738918164078,0.00361006985496963,1.84935465487442,15.194614856207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.147008862702942,0.297155500317538,0.527976175322894,-0.398319320400918
"0011",0.169457038729955,0.55,0.01,0.0755287971497588,0.0125738918164078,0.00361006985496963,1.84935465487442,15.194614856207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.85697962267425,0.250745548107653,0.74046757962156,-0.0214688132988529
"0011",0.169457038729955,0.55,0.01,0.0755287971497588,0.0125738918164078,0.00361006985496963,1.84935465487442,15.194614856207,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.160765498093806,0.303913080528766,0.433454046247517,0.19806901836941
"0012",0.616962352520788,0.55,0.01,0.0307018434683875,0.0104815432480438,0.00828488537548808,1.98558047553222,14.5839136185311,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.10241024094087,0.210181695891333,0.794966300834852,0.265275167684405
"0012",0.616962352520788,0.55,0.01,0.0307018434683875,0.0104815432480438,0.00828488537548808,1.98558047553222,14.5839136185311,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.67597973780966,0.240394337257606,0.747063601349605,0.0587598762083237
"0012",0.616962352520788,0.55,0.01,0.0307018434683875,0.0104815432480438,0.00828488537548808,1.98558047553222,14.5839136185311,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.168059437781258,0.315051846419202,0.37440284937613,0.118448439838311
"0012",0.616962352520788,0.55,0.01,0.0307018434683875,0.0104815432480438,0.00828488537548808,1.98558047553222,14.5839136185311,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.150797588417852,0.304721387571083,0.522297004102853,-0.470497518374779
"0013",0.273929923144984,0.55,0.01,0.0406742839136263,0.0112605386554406,0.00933499398484361,1.83651160990214,10.0830357441405,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.01321041489409,0.205275467758983,0.797165575665561,0.300674910450252
